Month of DAY|Site ID(Office)|Site Name|Year of DAY|Calcul 1|valeur|Difference in Count of sheet1
February|13474|MEMORIAL ACT|2020|good|100.00%|
February|13474|MEMORIAL ACT|2021|good|100.00%|
February|13475|SAINT FRANCOIS GOLF|2020|good|100.00%|
February|13475|SAINT FRANCOIS GOLF|2021|good|100.00%|
February|13477|RAIZET|2020|acceptable|99.50%|
February|13477|RAIZET|2021|good|100.00%|
February|13800|ROUTE DE L'ANGLAIS|2020|good|99.99%|
February|13800|ROUTE DE L'ANGLAIS|2021|good|100.00%|
February|13801|ROCADE|2020|good|99.99%|
February|13801|ROCADE|2021|good|100.00%|
February|13802|MOREL|2020|good|100.00%|
February|13802|MOREL|2021|good|100.00%|
February|13804|BRAGELONE|2020|good|100.00%|
February|13804|BRAGELONE|2021|good|100.00%|
February|13806|GRAND FOND|2020|good|99.97%|
February|13806|GRAND FOND|2021|good|100.00%|
February|13807|COURCELLES|2020|good|100.00%|
February|13807|COURCELLES|2021|good|100.00%|
February|13808|BEL ETANG|2020|good|99.99%|
February|13808|BEL ETANG|2021|good|100.00%|
February|13809|DOUVILLE STE ANNE|2020|good|100.00%|
February|13809|DOUVILLE STE ANNE|2021|good|100.00%|
February|13810|LOIAL|2020|good|100.00%|
February|13810|LOIAL|2021|good|100.00%|
February|13811|DURIVAGE|2020|good|100.00%|
February|13811|DURIVAGE|2021|good|100.00%|
February|13812|MARE GAILLARD|2020|good|100.00%|
February|13812|MARE GAILLARD|2021|good|100.00%|
February|13813|MORNE LESCAL|2020|good|100.00%|
February|13813|MORNE LESCAL|2021|good|99.99%|
February|13814|ST RAPHAEL|2020|good|100.00%|
February|13814|ST RAPHAEL|2021|good|100.00%|
February|13815|HOTEL ARAWAK|2020|good|100.00%|
February|13815|HOTEL ARAWAK|2021|good|100.00%|
February|13817|MARINA|2020|good|100.00%|
February|13817|MARINA|2021|good|100.00%|
February|13819|TOUR FREBAULT|2020|good|100.00%|
February|13819|TOUR FREBAULT|2021|good|100.00%|
February|13820|GRAND CAMP|2020|good|100.00%|
February|13820|GRAND CAMP|2021|good|100.00%|
February|13821|BOURGOGNE|2020|good|100.00%|
February|13821|BOURGOGNE|2021|good|100.00%|
February|13823|FT LES ABYMES|2020|acceptable|99.80%|
February|13823|FT LES ABYMES|2021|good|100.00%|
February|13824|MONDUC|2020|good|100.00%|
February|13824|MONDUC|2021|good|100.00%|
February|13825|NESTAR|2020|good|100.00%|
February|13825|NESTAR|2021|acceptable|99.90%|
February|13826|CHAZEAU|2020|good|100.00%|
February|13826|CHAZEAU|2021|good|100.00%|
February|13829|CHABERT|2020|acceptable|99.37%|
February|13829|CHABERT|2021|good|100.00%|
February|13830|PETIT CANAL|2020|good|100.00%|
February|13830|PETIT CANAL|2021|good|100.00%|
February|13831|MOULIN|2020|good|100.00%|
February|13831|MOULIN|2021|good|100.00%|
February|13833|HAUT DE LA MONTAGNE|2020|good|99.97%|
February|13833|HAUT DE LA MONTAGNE|2021|acceptable|98.28%|
February|13834|ARNOUVILLE|2020|good|100.00%|
February|13834|ARNOUVILLE|2021|good|100.00%|
February|13835|COPPET|2020|good|100.00%|
February|13835|COPPET|2021|good|100.00%|
February|13837|BAIE MAHAULT|2020|good|100.00%|
February|13837|BAIE MAHAULT|2021|good|100.00%|
February|13838|BARBOTTEAU|2020|good|99.98%|
February|13838|BARBOTTEAU|2021|good|100.00%|
February|13840|QUARTIER D'ORLEANS|2020|good|100.00%|
February|13840|QUARTIER D'ORLEANS|2021|acceptable|99.78%|
February|13841|CHOISY|2020|good|100.00%|
February|13841|CHOISY|2021|good|99.97%|
February|13842|PLIANE|2020|good|100.00%|
February|13842|PLIANE|2021|good|100.00%|
February|13843|SOFAIA FT|2020|good|100.00%|
February|13843|SOFAIA FT|2021|good|100.00%|
February|13844|DESHAIES|2020|good|100.00%|
February|13844|DESHAIES|2021|good|100.00%|
February|13847|POINTE NOIRE|2020|good|100.00%|
February|13847|POINTE NOIRE|2021|good|100.00%|
February|13848|BEAUREGARD|2020|good|100.00%|
February|13848|BEAUREGARD|2021|good|100.00%|
February|13849|MORNE A LOUIS|2020|good|100.00%|
February|13849|MORNE A LOUIS|2021|good|100.00%|
February|13850|COURBARIL|2020|good|100.00%|
February|13850|COURBARIL|2021|good|100.00%|
February|13851|BOUILLANTE VILLAGE|2020|good|99.99%|
February|13851|BOUILLANTE VILLAGE|2021|acceptable|99.93%|
February|13852|BEAUSOLEIL|2020|good|99.99%|
February|13852|BEAUSOLEIL|2021|acceptable|99.90%|
February|13853|BAILLIF|2020|good|100.00%|
February|13853|BAILLIF|2021|good|100.00%|
February|13856|MORNE HOUEL|2020|good|100.00%|
February|13856|MORNE HOUEL|2021|good|100.00%|
February|13858|GOURBEYRE|2020|good|100.00%|
February|13858|GOURBEYRE|2021|good|100.00%|
February|13859|CHÂTEAU SOURETTE|2020|good|100.00%|
February|13859|CHÂTEAU SOURETTE|2021|good|100.00%|
February|13861|MORNE SALE|2020|good|100.00%|
February|13861|MORNE SALE|2021|good|99.98%|
February|13862|LACAVE STADE MUNICIPAL|2020|good|100.00%|
February|13862|LACAVE STADE MUNICIPAL|2021|good|100.00%|
February|13863|GOYAVE|2020|good|100.00%|
February|13863|GOYAVE|2021|acceptable|99.73%|
February|13864|SCHOELCHER|2020|good|100.00%|
February|13864|SCHOELCHER|2021|good|99.97%|
February|13865|PETIT BOURG FT|2020|good|99.97%|
February|13865|PETIT BOURG FT|2021|good|99.95%|
February|13878|SIEAPAPA|2020|good|100.00%|
February|13878|SIEAPAPA|2021|good|100.00%|
February|13879|VATABLE|2020|good|100.00%|
February|13879|VATABLE|2021|good|100.00%|
February|13880|JARRY|2020|acceptable|99.32%|
February|13880|JARRY|2021|good|100.00%|
February|13881|LAMENTIN SUD|2020|good|99.97%|
February|13881|LAMENTIN SUD|2021|good|99.96%|
